[2026-06-06T12:07:24.506Z] GET https://fonts.googleapis.com/css2?family=Cute%20Font&display=swap → 200 (1ms, 54173B)
[2026-06-06T12:07:24.507Z] GET https://fonts.googleapis.com/css2?family=Do%20Hyeon&display=swap → 200 (?ms, 57148B)
[2026-06-06T12:07:24.507Z] GET https://fonts.googleapis.com/css2?family=Noto%20Sans%20KR&display=swap → 200 (?ms, 97626B)
[2026-06-06T12:07:24.507Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9eIWpYT5Kmgq3sw.woff2 → 200 (1ms, ?B)
[2026-06-06T12:10:20.900Z] GET http://localhost:3456/ → 200 (11ms, 43690B)
[2026-06-06T12:10:20.933Z] GET https://fonts.googleapis.com/css2?family=Caveat&display=swap → 200 (1ms, 1532B)
[2026-06-06T12:10:20.934Z] GET https://fonts.googleapis.com/css2?family=Patrick%20Hand&display=swap → 200 (?ms, 1294B)
[2026-06-06T12:10:20.934Z] GET https://fonts.googleapis.com/css2?family=Kalam&display=swap → 200 (1ms, 1185B)
[2026-06-06T12:10:20.935Z] GET https://fonts.googleapis.com/css2?family=Architects%20Daughter&display=swap → 200 (?ms, 927B)
[2026-06-06T12:10:20.935Z] GET https://fonts.googleapis.com/css2?family=Schoolbell&display=swap → 200 (?ms, 419B)
[2026-06-06T12:10:20.935Z] GET https://fonts.googleapis.com/css2?family=Comic%20Neue&display=swap → 200 (1ms, 417B)
[2026-06-06T12:10:20.936Z] GET https://fonts.googleapis.com/css2?family=Nanum%20Pen%20Script&display=swap → 200 (?ms, 59566B)
[2026-06-06T12:10:20.936Z] GET https://fonts.googleapis.com/css2?family=Gamja%20Flower&display=swap → 200 (1ms, 58450B)
[2026-06-06T12:10:20.937Z] GET https://fonts.googleapis.com/css2?family=Cute%20Font&display=swap → 200 (?ms, 54173B)
[2026-06-06T12:10:20.938Z] GET https://fonts.googleapis.com/css2?family=Do%20Hyeon&display=swap → 200 (?ms, 57148B)
[2026-06-06T12:10:20.938Z] GET https://fonts.googleapis.com/css2?family=Noto%20Sans%20KR&display=swap → 200 (?ms, 97626B)
[2026-06-06T12:10:20.938Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9eIWpYT5Kmgq3sw.woff2 → 200 (?ms, ?B)
[2026-06-06T12:11:12.272Z] GET http://localhost:3456/ → 200 (18ms, 43819B)
[2026-06-06T12:11:12.297Z] GET https://fonts.googleapis.com/css2?family=Caveat&display=swap → 200 (?ms, 1532B)
[2026-06-06T12:11:12.297Z] GET https://fonts.googleapis.com/css2?family=Patrick%20Hand&display=swap → 200 (?ms, 1294B)
[2026-06-06T12:11:12.297Z] GET https://fonts.googleapis.com/css2?family=Kalam&display=swap → 200 (?ms, 1185B)
[2026-06-06T12:11:12.298Z] GET https://fonts.googleapis.com/css2?family=Architects%20Daughter&display=swap → 200 (?ms, 927B)
[2026-06-06T12:11:12.298Z] GET https://fonts.googleapis.com/css2?family=Schoolbell&display=swap → 200 (?ms, 419B)
[2026-06-06T12:11:12.301Z] GET https://fonts.googleapis.com/css2?family=Comic%20Neue&display=swap → 200 (?ms, 417B)
[2026-06-06T12:11:12.301Z] GET https://fonts.googleapis.com/css2?family=Nanum%20Pen%20Script&display=swap → 200 (3ms, 59566B)
[2026-06-06T12:11:12.304Z] GET https://fonts.googleapis.com/css2?family=Gamja%20Flower&display=swap → 200 (?ms, 58450B)
[2026-06-06T12:11:12.304Z] GET https://fonts.googleapis.com/css2?family=Cute%20Font&display=swap → 200 (?ms, 54173B)
[2026-06-06T12:11:12.304Z] GET https://fonts.googleapis.com/css2?family=Do%20Hyeon&display=swap → 200 (?ms, 57148B)
[2026-06-06T12:11:12.305Z] GET https://fonts.googleapis.com/css2?family=Noto%20Sans%20KR&display=swap → 200 (?ms, 97626B)
[2026-06-06T12:11:12.305Z] GET https://fonts.gstatic.com/s/caveat/v23/WnznHAc5bAfYB2QRah7pcpNvOx-pjfJ9eIWpYT5Kmgq3sw.woff2 → 200 (?ms, ?B)
